#START7777
#--------------------------------------------------------------------------------------------------
#  TA     : 정시기온 (C) 
#  WD     : 정시 10분 평균 풍향 (degee) 
#  WS     : 정시 10분 평균 풍속 (m/s) 
#  RN_DAY : 해당시간까지의 일강수량 (mm) 
#  RN_HR1 : 1시간 강수량 (mm) 
#  HM     : 정시습도 (%) 
#  PA     : 정시 현지기압 (hPa) 
#  PS     : 정시 해면기압 (hPa) 
#--------------------------------------------------------------------------------------------------
# YYMMDDHHMI   STN     TA     WD     WS RN_DAY RN_HR1     HM     PA     PS
#        KST    ID      C    deg    m/s     mm     mm      %    hPa    hPa
202606292300   108   24.1  259.9    1.9    0.0    0.0   66.6 1002.5 1012.3
202606300000   108   23.8  254.0    2.9    0.0    0.0   70.1 1002.6 1012.4
202606300100   108   23.6  255.3    2.4    0.0    0.0   70.7 1002.6 1012.4
202606300200   108   23.4  255.9    1.4    0.0    0.0   72.5 1003.0 1012.8
202606300300   108   23.4  255.3    2.3    0.0    0.0   65.2 1003.1 1012.9
202606300400   108   23.2  264.2    1.1    0.0    0.0   64.4 1002.5 1012.3
202606300500   108   23.0  330.2    1.3    0.0    0.0   68.2 1002.6 1012.5
202606300600   108   22.9  287.4    0.9    0.0    0.0   69.0 1002.9 1012.8
202606300700   108   23.4  275.9    1.4    0.0    0.0   69.7 1002.8 1012.6
202606300800   108   24.5  296.0    1.9    0.0    0.0   67.4 1003.2 1013.0
202606300900   108   25.6  268.8    2.2    0.0    0.0   61.2 1003.3 1013.1
202606301000   108   26.9  248.2    1.6    0.0    0.0   57.6 1002.9 1012.6
202606301100   108   28.3  298.5    2.2    0.0    0.0   52.8 1002.4 1012.1
202606301200   108   29.6   70.3    0.8    0.0    0.0   51.1 1001.8 1011.4
202606301300   108   30.1  254.5    3.1    0.0    0.0   50.3 1001.5 1011.1
202606301400   108   30.5  281.7    1.9    0.0    0.0   48.7 1000.7 1010.3
202606301500   108   31.6  172.4    1.7    0.0    0.0   46.9 1000.2 1009.7
202606301600   108   30.6  260.7    3.1    0.0    0.0   50.0  999.7 1009.3
202606301700   108   30.2  252.5    4.2    0.0    0.0   50.8  999.6 1009.2
202606301800   108   29.7  284.3    3.5    0.0    0.0   50.3  999.6 1009.2
202606301900   108   28.3  261.5    3.4    0.0    0.0   49.3  999.6 1009.2
202606302000   108   27.1  273.4    2.8    0.0    0.0   54.8  999.9 1009.6
202606302100   108   26.4  296.2    2.4    0.0    0.0   50.2 1000.2 1009.9
202606302200   108   25.9  283.5    2.6    0.0    0.0   52.2 1000.4 1010.1
202606302300   108   25.6  292.7    2.8    0.0    0.0   53.1 1000.3 1010.0
202607010000   108   24.9  296.2    2.1    0.0    0.0   58.8 1000.0 1009.8
202607010100   108   24.5  292.8    1.5    0.0    0.0   59.9  999.5 1009.3
202607010200   108   24.2  269.7    0.6    0.0    0.0   61.4  998.8 1008.6
202607010300   108   24.0  279.5    0.9    0.0    0.0   62.6  998.7 1008.5
202607010400   108   23.8  286.6    0.9    0.0    0.0   61.9  998.4 1008.2
202607010500   108   23.7   26.3    1.4    0.0    0.0   66.7  998.2 1008.0
202607010600   108   23.9   61.3    1.4    0.0    0.0   69.3  998.1 1007.9
202607010700   108   24.4   52.9    2.5    0.0    0.0   70.2  997.8 1007.6
202607010800   108   24.9   46.9    2.5    0.0    0.0   68.4  998.0 1007.7
202607010900   108   26.1   54.9    2.1    0.0    0.0   64.7  997.8 1007.5
202607011000   108   27.6   76.4    1.5    0.0    0.0   60.3  997.6 1007.2
202607011100   108   29.4   96.6    1.5    0.0    0.0   54.9  997.2 1006.8
202607011200   108   30.1   68.9    2.2    0.0    0.0   54.1  996.7 1006.3
202607011300   108   31.1   60.3    2.1    0.0    0.0   52.2  996.1 1005.6
